state,county,region,metro_status,rural_urban_code,perc_complete_vac,tot_pop,votes_Trump,votes_Biden,perc_Biden,ed_somecol_perc,ed_bachormore_perc,unemployment_rate_2020,median_HHincome_2019
Missouri,Grundy County,Midwest,Non-metro,7,32.5,9850,3585,799,18.0076628,30.32229424,17.13483238,4.6,44323
Tennessee,Claiborne County,South,Non-metro,6,40.4,31959,10604,2202,17.0104287,26.03203964,16.11213875,7,40116
New York,Westchester County,Northeast,Metro,1,70.8,967506,144713,312371,67.5949208,19.91695213,48.92082596,8.4,101741
Virginia,Alexandria city,South,Metro,1,56.8,159428,14544,66240,80.2831241,18.31883049,63.09652328,6,102589
South Carolina,Florence County,South,Metro,3,49.2,138293,32615,31153,48.2917377,28.49048615,23.61877251,5.6,49770
Michigan,Huron County,Midwest,Non-metro,7,50.7,30981,12731,5490,29.7770787,31.49752998,15.95458889,8.5,49126
Georgia,Glascock County,South,Non-metro,9,14.5,2971,1402,155,9.9041534,25.72268486,11.61195469,4.1,49350
Texas,Fannin County,South,Non-metro,6,39.6,35514,12171,2655,17.6952813,32.83213043,17.4006176,4.7,56123
Ohio,Ashland County,Midwest,Non-metro,4,38.8,53484,19407,6541,24.7718235,25.93907547,20.94569778,6.5,52554
Missouri,Osage County,Midwest,Metro,3,37,13615,6425,1037,13.7551399,27.26978683,18.93465614,3.6,60728
Kentucky,Trigg County,South,Metro,2,43,14651,5487,1791,24.2814534,38.25268936,16.55192566,6.9,49955
Louisiana,Natchitoches Parish,South,Non-metro,6,38.7,38158,9358,6896,41.6576054,34.22906494,19.04948235,6.8,49536
Alaska,Skagway Municipality,West,Non-metro,9,67.4,1183,NA,NA,NA,35.87081909,29.64244461,21.5,74898
Montana,Golden Valley County,West,Metro,3,41.3,821,414,78,15.5069583,28.54700851,22.73504257,4.7,40469
Idaho,Cassia County,West,Non-metro,7,32,24030,7907,1464,15.204071,35.2604866,18.58071899,3.7,53284
Montana,Lake County,West,Non-metro,6,51.8,30458,9322,6916,41.5974979,33.7212677,29.57036209,6.2,49019
North Carolina,Transylvania County,South,Non-metro,6,50.1,34385,11636,8444,41.3840423,29.64465332,32.64032364,6.1,55628
Oklahoma,Muskogee County,South,Non-metro,4,45.6,67997,16526,8027,32.004306,30.4108696,20.39881706,6,43392
South Carolina,Darlington County,South,Metro,3,43.9,66618,16832,15220,46.950674,28.77516937,18.44506645,6.5,44007
New Hampshire,Coos County,Northeast,Non-metro,7,58.5,31563,8617,7640,46.2245886,30.62047386,18.24390984,7.9,49156
Oklahoma,Adair County,South,Non-metro,6,30,22194,5585,1387,19.5132245,22.56757736,11.62953091,5.8,39589
